Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
118,Primeval,Buena Vista,Adventure,$7Ê716Ê473,,$10Ê597Ê734,$1Ê000Ê000,$4Ê982Ê989,
119,Night at the Museum,20th Century Fox,Comedy,$79Ê055Ê249,$140Ê096Ê754,$250Ê863Ê268,$323Ê617Ê573,$153Ê286Ê880,$110Ê000Ê000
120,Evan Almighty,Universal,Comedy,$45Ê535Ê600,$69Ê987Ê650,$100Ê289Ê690,$72Ê929Ê590,$37Ê997Ê932,$175Ê000Ê000
121,Black Snake Moan,Paramount Vantage,Drama,$5Ê410Ê053,$8Ê079Ê470,$9Ê396Ê870,,,$15Ê000Ê000
122,No Reservations,Warner Bros.,Romantic Comedy,$17Ê586Ê828,$28Ê169Ê989,$43Ê107Ê979,$49Ê000Ê000,$26Ê948Ê545,$28Ê000Ê000
123,Meet the Robinsons,Buena Vista,Adventure,$35Ê231Ê834,$59Ê900Ê752,$97Ê822Ê171,$71Ê510Ê807,$78Ê345Ê374,
124,A Good Year,20th Century Fox,Drama,$4Ê799Ê687,$6Ê851Ê054,$7Ê459Ê300,$34Ê604Ê805,$7Ê342Ê760,$35Ê000Ê000
125,One Night with the King,Rocky Mountain Pictures,Drama,$5Ê307Ê651,,$13Ê395Ê961,,,$20Ê000Ê000
126,Hostel: Part II,Lionsgate,Horror,$11Ê191Ê000,$16Ê040Ê871,$17Ê544Ê812,$16Ê061Ê597,$16Ê167Ê194,$7Ê500Ê000
127,Stranger Than Fiction,Sony Pictures,Comedy,$16Ê300Ê147,$26Ê778Ê068,$40Ê435Ê190,$4Ê800Ê000,$30Ê880Ê666,$30Ê000Ê000
128,We Are... Marshall,Warner Bros.,Drama,$17Ê038Ê381,$30Ê289Ê979,$43Ê545Ê364,,,
129,Rush Hour 3,New Line,Action,$66Ê323Ê168,$96Ê763Ê003,$140Ê125Ê968,$112Ê900Ê000,$40Ê775Ê094,$180Ê000Ê000
130,Flicka,20th Century Fox,Drama,$9Ê163Ê221,$14Ê900Ê036,$21Ê000Ê147,$893Ê444,$49Ê920Ê014,$15Ê000Ê000
131,Dreamgirls,Paramount Pictures,Musical,,$22Ê964Ê345,$103Ê365Ê956,$51Ê600Ê000,$53Ê661Ê766,$75Ê000Ê000
132,Children of Men,Universal,Adventure,,,$35Ê552Ê383,$33Ê897Ê819,$25Ê338Ê142,$76Ê000Ê000
